"(활)바위굴:여수(중)","2014-02-24","5400"
"(활)바위굴:통영(대)","2014-02-24","20700"
"(활)바위굴:사천(대)","2014-02-24","16000"
"(선)바위굴:통영(대)","2014-02-24","18000"
"(선)바위굴:통영(중)","2014-02-24","16000"
"(활)바위굴:사천(대)","2014-02-25","15900"
"(활)바위굴:마산(대)","2014-02-25","16000"
"(활)바위굴:통영(대)","2014-02-25","18000"
"(선)바위굴:통영(대)","2014-02-25","18000"
"(활)바위굴:통영(대)","2014-02-26","17600"
"(활)바위굴:여수(대)","2014-02-26","5800"
"(활)바위굴:사천(대)","2014-02-26","16000"
"(활)바위굴:마산(대)","2014-02-26","16000"
"(선)바위굴:통영(대)","2014-02-26","16500"
"(활)바위굴:사천(대)","2014-02-27","16000"
"(활)바위굴:통영(대)","2014-02-27","17600"
"(선)바위굴:통영(대)","2014-02-27","15000"
"(활)바위굴:사천(대)","2014-02-28","16000"
"(활)바위굴:마산(대)","2014-02-28","16000"
"(활)바위굴:여수(대)","2014-02-28","5000"
"(활)바위굴:통영(대)","2014-02-28","18800"
"(선)바위굴:통영(대)","2014-02-28","15000"
"(활)바위굴:통영(대)","2014-03-01","18400"
"(활)바위굴:여수(대)","2014-03-01","6000"
"(활)바위굴:사천(대)","2014-03-01","16000"
"(활)바위굴:마산(중)","2014-03-01","7500"
"(선)바위굴:통영(대)","2014-03-01","17000"
"(활)바위굴:마산(중)","2014-03-03","7500"
"(활)바위굴:남해(대)","2014-03-03","16000"
"(활)바위굴:사천(대)","2014-03-03","16000"
"(활)바위굴:마산(대)","2014-03-03","16000"
"(활)바위굴:통영(대)","2014-03-03","18400"
"(선)바위굴:통영(대)","2014-03-03","17000"
"(활)바위굴:통영(대)","2014-03-04","18400"
"(활)바위굴:강화(대)","2014-03-04","8100"
"(활)바위굴:여수(대)","2014-03-04","7000"
"(활)바위굴:사천(대)","2014-03-04","16000"
"(선)바위굴:통영(대)","2014-03-04","15000"
"(활)바위굴:통영(대)","2014-03-05","20700"
"(활)바위굴:사천(대)","2014-03-05","16000"
"(선)바위굴:통영(대)","2014-03-05","17000"
"(활)바위굴:통영(대)","2014-03-06","16000"
"(활)바위굴:사천(대)","2014-03-06","16000"
"(활)바위굴:사천(대)","2014-03-07","16000"
"(활)바위굴:여수(대)","2014-03-07","8000"
"(활)바위굴:통영(대)","2014-03-07","18400"
"(선)바위굴:통영(대)","2014-03-07","15000"
"(활)바위굴:여수(대)","2014-03-08","9000"
"(활)바위굴:사천(대)","2014-03-08","16000"
"(활)바위굴:통영(대)","2014-03-08","18400"
"(선)바위굴:통영(중)","2014-03-08","20000"
"(선)바위굴:통영(대)","2014-03-08","15000"
"(활)바위굴:사천(대)","2014-03-10","16000"
"(활)바위굴:통영(대)","2014-03-10","18800"
"(활)바위굴:사천(중)","2014-03-10","11000"
"(활)바위굴:통영(대)","2014-03-11","17600"
"(활)바위굴:사천(대)","2014-03-11","16000"
"(선)바위굴:통영(대)","2014-03-11","15000"
"(활)바위굴:사천(대)","2014-03-12","16000"
"(활)바위굴:통영(대)","2014-03-12","16900"
"(활)바위굴:사천(대)","2014-03-13","16000"
"(활)바위굴:통영(대)","2014-03-13","20700"
"(활)바위굴:사천(중)","2014-03-13","8500"
"(선)바위굴:통영(대)","2014-03-13","15000"
"(활)바위굴:통영(대)","2014-03-14","17600"
"(활)바위굴:사천(대)","2014-03-14","16000"
"(활)바위굴:삼천포(대)","2014-03-14","16000"
"(선)바위굴:통영(대)","2014-03-14","15000"
"(활)바위굴:삼천포(대)","2014-03-15","16000"
"(활)바위굴:사천(대)","2014-03-15","16000"
"(활)바위굴:통영(대)","2014-03-15","18800"
"(활)바위굴:사천(대)","2014-03-17","16000"
"(활)바위굴:통영(대)","2014-03-17","18000"
"(선)바위굴:통영(대)","2014-03-17","15000"
"(활)바위굴:삼천포(대)","2014-03-18","16000"
"(활)바위굴:사천(대)","2014-03-18","16000"
"(활)바위굴:통영(대)","2014-03-18","17600"
"(활)바위굴:마산(중)","2014-03-18","9000"
"(선)바위굴:통영(대)","2014-03-18","15000"
"(활)바위굴:통영(대)","2014-03-19","20700"
"(활)바위굴:사천(대)","2014-03-19","16000"
"(선)바위굴:통영(대)","2014-03-19","15000"
"(활)바위굴:사천(대)","2014-03-20","16000"
"(활)바위굴:통영(대)","2014-03-20","20700"
"(활)바위굴:통영(대)","2014-03-21","20700"
"(활)바위굴:사천(대)","2014-03-21","16000"
"(활)바위굴:삼천포(대)","2014-03-22","16000"
"(활)바위굴:사천(대)","2014-03-22","16000"
"(활)바위굴:통영(대)","2014-03-22","18800"
"(활)바위굴:마산(중)","2014-03-22","9000"
"(활)바위굴:통영(대)","2014-03-24","16000"
"(활)바위굴:사천(대)","2014-03-24","16000"
"(활)바위굴:삼천포(대)","2014-03-24","16000"
"(활)바위굴:삼천포(대)","2014-03-25","16000"
"(활)바위굴:삼천포(중)","2014-03-25","5000"
"(활)바위굴:마산(중)","2014-03-25","8100"
"(활)바위굴:사천(대)","2014-03-25","16000"
"(활)바위굴:통영(대)","2014-03-26","16000"
"(활)바위굴:삼천포(대)","2014-03-26","16000"
"(활)바위굴:사천(대)","2014-03-27","16000"
"(활)바위굴:삼천포(대)","2014-03-27","16000"
"(활)바위굴:사천(대)","2014-03-28","16000"
"(활)바위굴:삼천포(대)","2014-03-28","16000"
"(활)바위굴:삼천포(대)","2014-03-29","16000"
"(활)바위굴:사천(대)","2014-03-29","16000"
"(활)바위굴:삼천포(대)","2014-03-31","16000"
"(활)바위굴:사천(대)","2014-03-31","5500"
